Strain,Cp1,Cp2,Cp3,H1,H2,H3,Tm
Tm_KP283b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Cp1_SK128,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK166,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK130,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK144,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK157,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK170,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK189,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK191,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK168,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp1_SK202,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp2_SK194,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp2_SK197,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cp3_SK163,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Cp3_SK165,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Cp3_SK198a,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Cp3_SK180,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
H3_KK182,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
H3_KP270,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
H3_CR224,0.0000,0.0000,0.0000,0.0000,0.0000,0.8590,0.1410
H3_KP215,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
H1_KK200a,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
H1_KP268a,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
H1_KK292,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
H1_KK290,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
H1_KP174,0.0000,0.0000,0.0000,0.9050,0.0000,0.0950,0.0000
H1_KP293a,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
H1_KP287a,0.0000,0.0000,0.0000,0.7135,0.2865,0.0000,0.0000
H1_KP216a,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
H2_KP277,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
